population,calibration,comparison,difference,relative_reduction,block_days,low95,high95,family4_low,family4_high,primary
outer,calibrated,D_minus_C_all_time,0.0007099438157465599,-0.038662186517757755,3,0.00041298943183215846,0.0008947985161441064,,,False
outer,calibrated,D_minus_C_all_time,0.0007099438157465599,-0.038662186517757755,1,0.000494662967780126,0.0009437322179478896,,,False
outer,calibrated,E_minus_D_all_time,0.00023116606204263008,-0.01212026694104226,3,9.658410091038902e-05,0.0004066038099151669,,,False
outer,calibrated,E_minus_D_all_time,0.00023116606204263008,-0.01212026694104226,1,3.4977262329666074e-05,0.0004383549458186021,,,False
outer,calibrated,E_minus_B_all_time,0.0006006688198083732,-0.03211585795138765,3,0.0003662669508123918,0.0007832392358277583,,,False
outer,calibrated,E_minus_B_all_time,0.0006006688198083732,-0.03211585795138765,1,0.0004340445092603691,0.0007867687070443328,,,False
outer,calibrated,R_union_minus_A_G_all_time,-0.002313741067126221,0.12492946368621237,3,-0.003178003307697751,-0.0011878917467618344,,,False
outer,calibrated,R_union_minus_A_G_all_time,-0.002313741067126221,0.12492946368621237,1,-0.0034302950602777375,-0.001179325950753125,,,False
outer,calibrated,A_mono_minus_A_G_all_time,0.0002040991583628303,-0.011020247146646131,3,8.695172140347694e-06,0.0003243224046916335,,,False
outer,calibrated,A_mono_minus_A_G_all_time,0.0002040991583628303,-0.011020247146646131,1,4.9398761347331686e-05,0.0003521805591865787,,,False
outer,calibrated,B_minus_A_G_all_time,0.00018280518727716808,-0.009870488245238186,3,-0.00032996720611395454,0.0008970489749960145,,,False
outer,calibrated,B_minus_A_G_all_time,0.00018280518727716808,-0.009870488245238186,1,-0.0007134355834270119,0.0010923280554032088,,,False
outer,calibrated,K_minus_A_G_all_time,0.000809102473234956,-0.04368714351168873,3,0.0003620765246835367,0.0013304372861131322,,,False
outer,calibrated,K_minus_A_G_all_time,0.000809102473234956,-0.04368714351168873,1,0.00021644820778411326,0.0013958602570718036,,,False
outer,calibrated,C_minus_A_G_all_time,-0.0001576358707036489,0.008511481714406396,3,-0.0005669804234537427,0.0004749376925163321,,,False
outer,calibrated,C_minus_A_G_all_time,-0.0001576358707036489,0.008511481714406396,1,-0.0009598622763183759,0.0006402883036212975,,,False
outer,calibrated,D_minus_A_G_all_time,0.0005523079450429109,-0.02982163230976649,3,6.215598748889463e-05,0.0011470559148507367,,,False
outer,calibrated,D_minus_A_G_all_time,0.0005523079450429109,-0.02982163230976649,1,-0.00015980999848863326,0.0012933239512147477,,,False
outer,calibrated,M_minus_A_G_all_time,0.0010704086825218352,-0.0577962610131702,3,0.0006009002765229763,0.0015161422804037719,,,False
outer,calibrated,M_minus_A_G_all_time,0.0010704086825218352,-0.0577962610131702,1,0.0005915026440074524,0.001583628373331463,,,False
outer,calibrated,S_minus_A_G_all_time,0.0007979017137397397,-0.0430823632722328,3,0.0003869952781662991,0.0012262748893046883,,,False
outer,calibrated,S_minus_A_G_all_time,0.0007979017137397397,-0.0430823632722328,1,0.0003137635738174531,0.0012911222851392028,,,False
outer,calibrated,E_minus_A_G_all_time,0.0007834740070855412,-0.042303345395020744,3,0.0001775774793020757,0.001542650011295239,,,False
outer,calibrated,E_minus_A_G_all_time,0.0007834740070855412,-0.042303345395020744,1,-0.00012149770605740386,0.0017244796666152408,,,False
