split,origin,model,step,mae_raw
inner_diagnosis,18119,original,3,1.614996587206125
inner_diagnosis,18119,original,6,2.407929652917243
inner_diagnosis,18119,location_repair,3,1.5952440860084278
inner_diagnosis,18119,location_repair,6,2.4266965902996507
inner_diagnosis,18191,original,3,0.9883250066836635
inner_diagnosis,18191,original,6,1.0640956126807284
inner_diagnosis,18191,location_repair,3,0.9883241928146634
inner_diagnosis,18191,location_repair,6,1.0640947697027436
inner_diagnosis,18251,original,3,1.281730684886466
inner_diagnosis,18251,original,6,1.5082839138791686
inner_diagnosis,18251,location_repair,3,1.2811592983235494
inner_diagnosis,18251,location_repair,6,1.5125737571084343
inner_diagnosis,18311,original,3,1.7990293719077461
inner_diagnosis,18311,original,6,2.1724994973397824
inner_diagnosis,18311,location_repair,3,1.7916666746109622
inner_diagnosis,18311,location_repair,6,2.1427219516952967
inner_diagnosis,18371,original,3,1.8786508228663983
inner_diagnosis,18371,original,6,2.086601946209385
inner_diagnosis,18371,location_repair,3,1.8920073342513328
inner_diagnosis,18371,location_repair,6,2.102873965271078
inner_diagnosis,18431,original,3,0.9033341490612443
inner_diagnosis,18431,original,6,0.8364613948404793
inner_diagnosis,18431,location_repair,3,0.9034816891604082
inner_diagnosis,18431,location_repair,6,0.8350599816177036
inner_diagnosis,18491,original,3,1.6688797807449605
inner_diagnosis,18491,original,6,1.6128646288279274
inner_diagnosis,18491,location_repair,3,1.664188034189738
inner_diagnosis,18491,location_repair,6,1.5949388556233701
inner_diagnosis,18551,original,3,3.255441304202374
inner_diagnosis,18551,original,6,4.562170380458647
inner_diagnosis,18551,location_repair,3,3.1204515112733957
inner_diagnosis,18551,location_repair,6,4.36244204800834
inner_diagnosis,18611,original,3,2.3170425052606243
inner_diagnosis,18611,original,6,3.453385314990896
inner_diagnosis,18611,location_repair,3,2.2652130234900887
inner_diagnosis,18611,location_repair,6,3.482545607635646
inner_diagnosis,18671,original,3,1.2969481094782995
inner_diagnosis,18671,original,6,1.5650767742323042
inner_diagnosis,18671,location_repair,3,1.2699840256680794
inner_diagnosis,18671,location_repair,6,1.5092629175197216
inner_diagnosis,18731,original,3,1.0610636507889242
inner_diagnosis,18731,original,6,0.9861032748855028
inner_diagnosis,18731,location_repair,3,1.0498566638511442
inner_diagnosis,18731,location_repair,6,0.9639315868265207
inner_diagnosis,18791,original,3,2.249824032952095
inner_diagnosis,18791,original,6,3.358478150481854
inner_diagnosis,18791,location_repair,3,2.243187952179378
inner_diagnosis,18791,location_repair,6,3.4384069193847777
inner_diagnosis,18851,original,3,1.3025054876203916
inner_diagnosis,18851,original,6,1.5771509119361837
inner_diagnosis,18851,location_repair,3,1.2753314258253612
inner_diagnosis,18851,location_repair,6,1.5340984991845394
inner_diagnosis,18911,original,3,3.037649723255644
inner_diagnosis,18911,original,6,4.124606923851482
inner_diagnosis,18911,location_repair,3,2.828716953550031
inner_diagnosis,18911,location_repair,6,3.8258721643839704
inner_diagnosis,18971,original,3,1.2322518417854482
inner_diagnosis,18971,original,6,1.4798893230496708
inner_diagnosis,18971,location_repair,3,1.2183340340768096
inner_diagnosis,18971,location_repair,6,1.4524459889664754
inner_diagnosis,19031,original,3,1.1388027322772585
inner_diagnosis,19031,original,6,1.094178545422393
inner_diagnosis,19031,location_repair,3,1.1293177704487491
inner_diagnosis,19031,location_repair,6,1.072639604705893
inner_diagnosis,19091,original,3,3.9083323988770386
inner_diagnosis,19091,original,6,6.27587661683195
inner_diagnosis,19091,location_repair,3,3.550598974142049
inner_diagnosis,19091,location_repair,6,5.683286636958502
inner_diagnosis,19151,original,3,1.77151310000966
inner_diagnosis,19151,original,6,2.1194724977314543
inner_diagnosis,19151,location_repair,3,1.6665974721364836
inner_diagnosis,19151,location_repair,6,1.9816257704731786
inner_diagnosis,19211,original,3,4.264792697999849
inner_diagnosis,19211,original,6,6.5509821199053615
inner_diagnosis,19211,location_repair,3,3.6817572714875286
inner_diagnosis,19211,location_repair,6,5.553634063505264
inner_diagnosis,19271,original,3,0.9326046692131772
inner_diagnosis,19271,original,6,1.1211155629718756
inner_diagnosis,19271,location_repair,3,0.91726833836071
inner_diagnosis,19271,location_repair,6,1.1004633041918281
inner_diagnosis,19331,original,3,1.3710167998510672
inner_diagnosis,19331,original,6,1.697625333033458
inner_diagnosis,19331,location_repair,3,1.3505983903382084
inner_diagnosis,19331,location_repair,6,1.6325612148334256
inner_diagnosis,19391,original,3,4.687137255006002
inner_diagnosis,19391,original,6,6.6542775698851635
inner_diagnosis,19391,location_repair,3,3.782098574137304
inner_diagnosis,19391,location_repair,6,5.524572168703045
inner_diagnosis,19463,original,3,1.7567201520109177
inner_diagnosis,19463,original,6,2.9319806374833592
inner_diagnosis,19463,location_repair,3,1.7486049565704895
inner_diagnosis,19463,location_repair,6,2.9168441249642547
inner_diagnosis,19523,original,3,4.561282472065205
inner_diagnosis,19523,original,6,5.6814380783612926
inner_diagnosis,19523,location_repair,3,4.115945485685928
inner_diagnosis,19523,location_repair,6,5.1927849108287
inner_diagnosis,19583,original,3,0.9671542957077806
inner_diagnosis,19583,original,6,1.0131261688009205
inner_diagnosis,19583,location_repair,3,0.961080947126203
inner_diagnosis,19583,location_repair,6,1.0038826808911365
inner_diagnosis,19643,original,3,2.0468312951000924
inner_diagnosis,19643,original,6,2.133727071158041
inner_diagnosis,19643,location_repair,3,2.037073637963761
inner_diagnosis,19643,location_repair,6,2.091458108914561
inner_diagnosis,19703,original,3,1.939257613978494
inner_diagnosis,19703,original,6,2.4387471736124677
inner_diagnosis,19703,location_repair,3,1.9310527549303578
inner_diagnosis,19703,location_repair,6,2.47852419279132
inner_diagnosis,19763,original,3,4.127478309286179
inner_diagnosis,19763,original,6,5.3494719709571
inner_diagnosis,19763,location_repair,3,3.91133672701343
inner_diagnosis,19763,location_repair,6,5.125888167711619
inner_diagnosis,19823,original,3,2.219819331005091
inner_diagnosis,19823,original,6,2.6323154059624048
inner_diagnosis,19823,location_repair,3,2.080181042259689
inner_diagnosis,19823,location_repair,6,2.5936676990048486
inner_diagnosis,19883,original,3,0.7976484462789386
inner_diagnosis,19883,original,6,0.905244190132613
inner_diagnosis,19883,location_repair,3,0.7976480502951478
inner_diagnosis,19883,location_repair,6,0.9052433197111157
inner_diagnosis,19943,original,3,1.0294746475594734
inner_diagnosis,19943,original,6,1.1821464952544578
inner_diagnosis,19943,location_repair,3,1.029474210809872
inner_diagnosis,19943,location_repair,6,1.1821453355431657
inner_diagnosis,20003,original,3,1.2301358624882666
inner_diagnosis,20003,original,6,1.3426398988781125
inner_diagnosis,20003,location_repair,3,1.2318227978219711
inner_diagnosis,20003,location_repair,6,1.3385378006949218
inner_diagnosis,20063,original,3,2.7594254509435436
inner_diagnosis,20063,original,6,3.924922049677996
inner_diagnosis,20063,location_repair,3,2.618626967857537
inner_diagnosis,20063,location_repair,6,3.8259205801282463
inner_diagnosis,20123,original,3,1.4116112134554513
inner_diagnosis,20123,original,6,1.248403711588933
inner_diagnosis,20123,location_repair,3,1.4077999037022702
inner_diagnosis,20123,location_repair,6,1.2455763722980573
inner_diagnosis,20476,original,3,1.3230677396656012
inner_diagnosis,20476,original,6,1.6532815786404234
inner_diagnosis,20476,location_repair,3,1.3033335087106213
inner_diagnosis,20476,location_repair,6,1.6004151094454346
inner_diagnosis,20536,original,3,3.8083290905470326
inner_diagnosis,20536,original,6,5.49853191448995
inner_diagnosis,20536,location_repair,3,3.44506493657736
inner_diagnosis,20536,location_repair,6,5.16790255122043
inner_diagnosis,20596,original,3,1.4809569047153979
inner_diagnosis,20596,original,6,2.047663229606566
inner_diagnosis,20596,location_repair,3,1.4374604281979617
inner_diagnosis,20596,location_repair,6,1.969213636851498
inner_diagnosis,20656,original,3,3.4082334024535075
inner_diagnosis,20656,original,6,5.527533410470695
inner_diagnosis,20656,location_repair,3,3.2825912588361796
inner_diagnosis,20656,location_repair,6,5.506277081662718
inner_diagnosis,20716,original,3,0.8686924501343946
inner_diagnosis,20716,original,6,0.8655759774789532
inner_diagnosis,20716,location_repair,3,0.8652051382007406
inner_diagnosis,20716,location_repair,6,0.8638722382401616
inner_diagnosis,20776,original,3,1.7392058027225799
inner_diagnosis,20776,original,6,2.189989326347421
inner_diagnosis,20776,location_repair,3,1.7209151981465718
inner_diagnosis,20776,location_repair,6,2.13590253640708
inner_diagnosis,20836,original,3,3.986462156055411
inner_diagnosis,20836,original,6,4.924161688587063
inner_diagnosis,20836,location_repair,3,3.6541336710952264
inner_diagnosis,20836,location_repair,6,4.77781099594943
inner_diagnosis,20896,original,3,2.6551131583611727
