origin,repeat,model,N,total_seconds,preparation_seconds,probability,mc_lower,mc_upper
33439,1,original,256,0.02047868099907646,0.01219936300185509,0.0,0.0,0.014306362729039375
34089,1,location_repair,256,0.021702077996451408,0.012940159998834133,0.00390625,9.889279722355371e-05,0.021570890352533498
34089,1,original,256,0.020227663997502532,0.012025575000734534,0.00390625,9.889279722355371e-05,0.021570890352533498
34819,1,location_repair,256,0.022210128998267464,0.014398769002582412,0.0,0.0,0.014306362729039375
34819,1,original,256,0.019622073006758,0.010751011002867017,0.0,0.0,0.014306362729039375
35469,1,location_repair,256,0.022080112001276575,0.014809888001764193,0.0,0.0,0.014306362729039375
35469,1,original,256,0.017165243996714707,0.01082668000162812,0.0,0.0,0.014306362729039375
36200,1,location_repair,256,0.021002014997066,0.013300307997269556,0.0,0.0,0.014306362729039375
36200,1,original,256,0.018045862001599744,0.011012736998964101,0.0,0.0,0.014306362729039375
36850,1,location_repair,256,0.022007297004165594,0.015372878006019164,0.0,0.0,0.014306362729039375
36850,1,original,256,0.02225106900004903,0.012478343000111636,0.0,0.0,0.014306362729039375
37581,1,location_repair,256,0.02022620299976552,0.013963361998321488,0.0,0.0,0.014306362729039375
37581,1,original,256,0.017790726000384893,0.011297184995783027,0.0,0.0,0.014306362729039375
38230,1,location_repair,256,0.02213556700007757,0.013853778997145128,0.0,0.0,0.014306362729039375
38230,1,original,256,0.020599724004568998,0.011983663003775291,0.0,0.0,0.014306362729039375
38961,1,location_repair,256,0.020494634001806844,0.013046647000010125,0.87890625,0.8325382167908462,0.9162203853225371
38961,1,original,256,0.01840090600308031,0.011234980003791861,0.66796875,0.6066303247832971,0.725364391784965
39611,1,location_repair,256,0.020976439998776186,0.012832501000957564,0.0,0.0,0.014306362729039375
39611,1,original,256,0.01875230900623137,0.012253949003934395,0.0,0.0,0.014306362729039375
40342,1,location_repair,256,0.027159248995303642,0.015533563993813004,0.0,0.0,0.014306362729039375
40342,1,original,256,0.019611839001299813,0.010805564001202583,0.0,0.0,0.014306362729039375
40992,1,location_repair,256,0.0209973360033473,0.012995971002965234,0.94140625,0.9051991415444257,0.9668381679733287
40992,1,original,256,0.019810206002148334,0.011969632003456354,0.5390625,0.47589910459977025,0.601311049375117
41723,1,location_repair,256,0.021207482997851912,0.013025086998823099,0.0,0.0,0.014306362729039375
41723,1,original,256,0.019570301003113855,0.011455400999693666,0.0,0.0,0.014306362729039375
31409,2,original,256,0.07449362100305734,0.06266188800509553,0.0,0.0,0.014306362729039375
31409,2,location_repair,256,0.08371515000180807,0.07176037399767665,0.0,0.0,0.014306362729039375
32058,2,original,256,0.026688247002311982,0.01668109800084494,0.0,0.0,0.014306362729039375
