origin,retention,N,method,device,conditioning_setup_seconds,sampling_seconds,residual_gather_seconds,fine_seconds,transfer_seconds,device_seconds,event_seconds,total_seconds,enclosure_seconds,compaction_seconds
31490,0.15,256,fine_mc,cpu,0.007187503004388418,0.03445188399928156,0.0015136130023165606,0.00971847100299783,0.0,0.0,0.0012595110019901767,0.054237665004620794,,
31490,0.15,256,empirical_selective,cpu,0.007187503004388418,0.03445188399928156,0.0015136130023165606,0.008668737995321862,0.0,,,0.06293497499427758,0.009416264001629315,0.001590289997693617
31490,0.15,256,certified_fallback,cpu,0.007187503004388418,0.03445188399928156,0.0015136130023165606,0.009223126995493658,0.0,,,0.06311373200151138,0.009416264001629315,0.0
31490,0.15,256,fine_mc,cpu,0.00693598000361817,0.036827220996201504,0.0014137149992166087,0.01530314699630253,0.0,0.0,0.0012266970006749034,0.06182662699575303,,
31490,0.15,1024,fine_mc,cpu,0.0100767430049018,0.19992496899794787,0.005223700005444698,0.04831652300345013,0.0,0.0,0.003868227999191731,0.26750872599950526,,
31490,0.15,1024,empirical_selective,cpu,0.0100767430049018,0.19992496899794787,0.005223700005444698,0.04101353700389154,0.0,,,0.30987190699670464,0.04639092399884248,0.007143470997107215
31490,0.15,1024,certified_fallback,cpu,0.0100767430049018,0.19992496899794787,0.005223700005444698,0.0476735669944901,0.0,,,0.3137303319963394,0.04639092399884248,0.0
31490,0.15,1024,fine_mc,cpu,0.006473886001913343,0.18322705999889877,0.010294444000464864,0.049028372995962854,0.0,0.0,0.003438267005549278,0.25261545800458407,,
31490,1.0,256,fine_mc,cpu,0.013723647003644146,0.04794822999974713,0.001486378998379223,0.008101915998850018,0.0,0.0,0.0007152969992603175,0.07207888099947013,,
31490,1.0,256,empirical_selective,cpu,0.013723647003644146,0.04794822999974713,0.001486378998379223,0.009996251996199135,0.0,,,0.08235124999191612,0.007882963996962644,0.0012103659973945469
31490,1.0,256,certified_fallback,cpu,0.013723647003644146,0.04794822999974713,0.001486378998379223,0.007963383999594953,0.0,,,0.07989719999750378,0.007882963996962644,0.0
31490,1.0,256,fine_mc,cpu,0.01389131200267002,0.04914196699974127,0.0018895440007327124,0.010785193997435272,0.0,0.0,0.00079024099977687,0.07663947499531787,,
31490,1.0,1024,fine_mc,cpu,0.009004700994410086,0.2306013100023847,0.007723003000137396,0.03887381899403408,0.0,0.0,0.0028832559983129613,0.2892282109896769,,
31490,1.0,1024,empirical_selective,cpu,0.009004700994410086,0.2306013100023847,0.007723003000137396,0.04256274100043811,0.0,,,0.3399152040001354,0.04462686600163579,0.0052544610007316805
31490,1.0,1024,certified_fallback,cpu,0.009004700994410086,0.2306013100023847,0.007723003000137396,0.03878707299736561,0.0,,,0.3341098620003322,0.04462686600163579,0.0
31490,1.0,1024,fine_mc,cpu,0.00959525099460734,0.2445139659976121,0.004497816997172777,0.0428203570045298,0.0,0.0,0.003560113000276033,0.30511192800622666,,
